p,n_scc,largest_scc
0.000421, 318, 9683
0.000422, 313, 9688
0.000423, 296, 9705
0.000424, 290, 9711
0.000425, 261, 9740
0.000426, 315, 9686
0.000427, 299, 9702
0.000428, 275, 9726
0.000429, 297, 9704
0.000430, 289, 9712
0.000431, 300, 9701
0.000432, 267, 9734
0.000433, 301, 9700
0.000434, 277, 9724
0.000435, 295, 9706
0.000436, 277, 9724
0.000437, 271, 9730
0.000438, 270, 9731
0.000439, 256, 9745
0.000440, 241, 9760
0.000441, 232, 9769
0.000442, 261, 9740
0.000443, 234, 9767
0.000444, 278, 9723
0.000445, 267, 9734
0.000446, 238, 9763
0.000447, 262, 9739
0.000448, 209, 9792
0.000449, 248, 9753
0.000450, 240, 9761
0.000451, 252, 9749
0.000452, 238, 9763
0.000453, 210, 9791
0.000454, 251, 9750
0.000455, 216, 9785
0.000456, 202, 9799
0.000457, 218, 9783
0.000458, 209, 9792
0.000459, 203, 9798
0.000460, 205, 9796
0.000461, 192, 9809
0.000462, 192, 9809
0.000463, 221, 9780
0.000464, 196, 9805
0.000465, 213, 9788
0.000466, 191, 9810
0.000467, 208, 9793
0.000468, 181, 9820
0.000469, 166, 9835
0.000470, 196, 9805
0.000471, 152, 9849
0.000472, 174, 9827
0.000473, 204, 9797
0.000474, 177, 9824
0.000475, 146, 9855
0.000476, 173, 9828
0.000477, 174, 9827
0.000478, 189, 9812
0.000479, 139, 9862
0.000480, 188, 9813
0.000481, 178, 9823
0.000482, 150, 9851
0.000483, 174, 9827
0.000484, 172, 9829
0.000485, 183, 9818
0.000486, 182, 9819
0.000487, 144, 9857
0.000488, 181, 9820
0.000489, 176, 9825
0.000490, 158, 9843
0.000491, 134, 9867
0.000492, 129, 9872
0.000493, 161, 9840
0.000494, 148, 9853
0.000495, 147, 9854
0.000496, 159, 9842
0.000497, 160, 9841
0.000498, 116, 9885
0.000499, 126, 9875
0.000500, 128, 9873
0.000501, 126, 9875
0.000502, 162, 9839
0.000503, 125, 9876
0.000504, 133, 9868
0.000505, 136, 9865
0.000506, 117, 9884
0.000507, 125, 9876
0.000508, 131, 9870
0.000509, 110, 9891
0.000510, 113, 9888
0.000511, 125, 9876
0.000512, 143, 9858
0.000513, 107, 9894
0.000514, 120, 9881
0.000515, 121, 9880
0.000516, 126, 9875
0.000517, 123, 9878
0.000518, 99, 9902
0.000519, 99, 9902
0.000520, 113, 9888
0.000521, 128, 9873
0.000522, 115, 9886
0.000523, 109, 9892
0.000524, 100, 9901
0.000525, 131, 9870
0.000526, 104, 9897
0.000527, 107, 9894
0.000528, 104, 9897
0.000529, 112, 9889
0.000530, 94, 9907
0.000531, 98, 9903
0.000532, 108, 9893
0.000533, 96, 9905
0.000534, 86, 9915
0.000535, 107, 9894
0.000536, 96, 9905
0.000537, 92, 9909
0.000538, 116, 9885
0.000539, 111, 9890
0.000540, 103, 9898
0.000541, 102, 9899
0.000542, 86, 9915
0.000543, 77, 9924
0.000544, 102, 9899
0.000545, 81, 9920
0.000546, 97, 9904
0.000547, 105, 9896
0.000548, 88, 9913
0.000549, 69, 9932
0.000550, 87, 9914
0.000551, 83, 9918
0.000552, 75, 9926
0.000553, 80, 9921
0.000554, 78, 9923
0.000555, 78, 9923
0.000556, 79, 9922
0.000557, 98, 9903
0.000558, 64, 9937
0.000559, 71, 9930
0.000560, 75, 9926
0.000561, 70, 9931
0.000562, 83, 9918
0.000563, 86, 9915
0.000564, 80, 9921
0.000565, 71, 9930
0.000566, 81, 9920
0.000567, 72, 9929
0.000568, 73, 9928
0.000569, 65, 9936
0.000570, 70, 9931
0.000571, 75, 9926
0.000572, 81, 9920
0.000573, 73, 9928
0.000574, 56, 9945
0.000575, 65, 9936
